Label,Area,Major,Minor,Angle,Feret,Slice,FeretX,FeretY,FeretAngle,MinFeret,Scale+AF8-um,Scale+AF8-px
2022042904.tif+AF8-converted.tif:0645+AC0-0743,112405,563.702998378,253.889887827,1.635215013,572.422920575,1,457,670,2.202598162,268.369248471,1000,230
2022042905.tif+AF8-converted.tif:0471+AC0-0954,108112,551.206367918,249.729469165,179.192388534,561.321654669,1,674,460,178.060242667,261.065528605,1000,230
2022042906.tif+AF8-converted.tif:0430+AC0-0724,134195,723.141228552,236.278024208,179.780030777,715.279665585,1,367,439,178.397738654,238.903145245,1000,230
2022042907.tif+AF8-converted.tif:0552+AC0-0802,144804,743.472929230,247.985060097,179.126952390,731.134050636,1,437,546,178.902814143,253.000000000,1000,230
2022042908.tif+AF8-converted.tif:0641+AC0-0794,129930,702.048205137,235.641958539,177.554151698,691.382672621,1,449,643,178.093608410,238.534648661,1000,230
2022042909.tif+AF8-converted.tif:0557+AC0-0958,139951,733.133116572,243.054287819,179.410278594,731.115585937,1,593,546,178.981167407,250.478551157,1000,230
2022042910.tif+AF8-converted.tif:0532+AC0-0822,124342,695.246319407,227.713757056,179.308673897,689.142220445,1,478,536,178.835949860,228.000000000,1000,230
2022042911.tif+AF8-converted.tif:0529+AC0-0915,147011,739.864748211,252.992481617,0.175949994,732.535323380,1,549,551,2.190573864,257.934262093,1000,230
2022042912.tif+AF8-converted.tif:0621+AC0-0755,145108,755.028742975,244.702265412,1.558256377,745.131532013,1,383,591,178.923427502,247.000000000,1000,230
2022042913.tif+AF8-converted.tif:0589+AC0-0871,148083,770.758995481,244.622680512,178.431153686,757.319615486,1,493,582,178.335333617,245.893978766,1000,230
2022042914.tif+AF8-converted.tif:0532+AC0-0925,141546,750.468736668,240.145865901,175.918363463,733.665455095,1,561,484,172.874983651,241.012082488,1000,230
2022042915.tif+AF8-converted.tif:0592+AC0-0766,82927,551.503112880,191.451205370,178.292823561,549.263142765,1,492,600,178.226380486,194.817379170,1000,230
2022042916.tif+AF8-converted.tif:0588+AC0-0892,89262,572.818843861,198.408117087,176.414449719,560.650515027,1,612,569,177.239662502,196.787369541,1000,230
2022042917.tif+AF8-converted.tif:0520+AC0-0821,105830,634.673466984,212.309081802,176.819896879,618.233774555,1,512,508,178.424299867,211.232185760,1000,230
2022042918.tif+AF8-converted.tif:0458+AC0-0789,100707,594.705636254,215.609415844,178.675034513,587.068990835,1,496,445,0.878401388,217.054186783,1000,230
2022042920.tif+AF8-converted.tif:0553+AC0-0880,117912,666.143999197,225.372023736,1.392192210,653.337585020,1,554,548,1.841955333,224.944745615,1000,230
2022042921.tif+AF8-converted.tif:0439+AC0-0866,112021,653.632631438,218.210597484,178.244960479,638.132431396,1,547,426,178.832692671,229.366279657,1000,230
2022042922.tif+AF8-converted.tif:0679+AC0-0822,110834,656.158102166,215.067422372,0.828316420,629.762653704,1,510,748,7.756970956,227.896074122,1000,230
2022050201.tif+AF8-converted.tif:0405+AC0-1029,115377,677.201060811,216.926061481,0.340771803,668.036675640,1,695,401,0.600382900,220.983284031,1000,230
2022050202.tif+AF8-converted.tif:0475+AC0-0929,101105,604.926333645,212.804232533,178.275370613,591.711078145,1,634,463,177.190785203,211.254435378,1000,230
2022050203.tif+AF8-converted.tif:0437+AC0-0911,88674,564.307259535,200.074058028,179.030492805,553.014466357,1,635,444,179.585571209,203.000000000,1000,230
2022050204.tif+AF8-converted.tif:0507+AC0-0947,96520,581.869903968,211.203707255,179.947749486,572.087405909,1,661,503,1.001572436,210.000000000,1000,230
2022050205.tif+AF8-converted.tif:0625+AC0-0807,97138,618.942515261,199.824603815,178.399126286,607.600197498,1,504,616,177.453102165,201.754611889,1000,230
2022050206.tif+AF8-converted.tif:0432+AC0-0926,96938,594.099246154,207.751980475,179.455347524,583.103764351,1,635,435,178.919075813,210.000000000,1000,230
2022050207.tif+AF8-converted.tif:0439+AC0-0769,102934,615.322069902,212.993561760,177.509470572,603.696943839,1,468,425,177.246603074,214.447095861,1000,230
2022050208.tif+AF8-converted.tif:0563+AC0-0771,117255,678.852100721,219.920808464,0.612484899,665.075183720,1,439,565,0.861525735,220.000000000,1000,230
2022050209.tif+AF8-converted.tif:0471+AC0-0969,97612,615.609045155,201.886992108,178.013479976,602.299759256,1,668,461,178.192261530,204.775036588,1000,230
2022050210.tif+AF8-converted.tif:0581+AC0-0851,98057,616.378377748,202.554233804,179.835328031,604.013244888,1,549,578,179.620563299,207.499265790,1000,230
2022050211.tif+AF8-converted.tif:0591+AC0-0754,91003,588.582316134,196.860515706,177.861634453,578.498055312,1,465,574,177.622302340,200.159985061,1000,230
2022050212.tif+AF8-converted.tif:0401+AC0-0928,86595,569.655377107,193.548911864,177.761844508,557.395730159,1,650,391,177.840858603,192.907671603,1000,230
